feature1,feature2,...,true_label,cluster
-1.60111,2.07403,0.251864,0,0
-1.59972,1.62658,0.00706098,1,0
-1.59834,-1.35336,-0.00507299,1,0
-1.59695,1.09775,0.727863,1,0
-1.59557,-1.3988,0.714837,0,0
-1.59418,-0.561126,0.687395,0,0
-1.59279,-0.670119,1.18145,0,0
-1.59141,-1.35699,1.16009,0,0
-1.59002,1.44654,0.264238,1,0
-1.58864,-0.924646,1.30441,0,0
-1.58725,-1.0058,0.526599,0,0
-1.58587,0.770007,0.203348,1,0
-1.58448,-0.974452,0.110062,0,0
-1.58309,1.1241,1.34827,1,0
-1.58171,-0.736534,1.01095,0,0
-1.58032,-0.533117,0.718829,1,0
-1.57894,-1.63714,1.06132,0,0
-1.57755,-1.01014,1.24396,1,0
-1.57617,-1.83883,1.22473,1,0
-1.57478,1.19605,0.597099,0,0
-1.5734,-0.89151,0.926601,1,0
-1.57201,0.465291,0.0624174,0,0
-1.57062,-1.37087,0.719772,1,0
-1.56924,-1.70737,1.43548,0,0
-1.56785,1.2118,0.740324,0,0
-1.56647,0.970309,0.0900339,1,0
-1.56508,-0.428379,0.684482,0,0
-1.5637,-0.965445,1.34417,0,0
-1.56231,-1.28586,0.690097,0,0
-1.56092,0.656607,0.740624,0,0
-1.55954,-1.48828,0.767769,0,0
-1.55815,1.34935,1.0059,1,0
-1.55677,-1.39288,0.589407,1,0
-1.55538,-1.82359,0.95689,1,0
-1.554,-1.05097,0.704242,1,0
-1.55261,-0.918296,1.18916,1,0
-1.55122,-0.830061,1.33533,1,0
-1.54984,-1.21422,1.01072,0,0
-1.54845,-0.530385,0.869751,1,0
-1.54707,0.410616,0.914152,0,0
-1.54568,-1.5654,1.39983,1,0
-1.5443,-0.740551,0.983824,1,0
-1.54291,-1.70872,0.728177,1,0
-1.54153,1.59461,0.119688,1,0
-1.54014,-0.84605,0.756486,0,0
-1.53875,-1.61683,1.16099,1,0
-1.53737,-0.641166,0.694758,0,0
-1.53598,-0.985725,0.957373,0,0
-1.5346,-1.03938,1.29046,1,0
-1.53321,0.605651,0.896127,1,0
-1.53183,-1.24345,1.48225,0,0
-1.53044,-0.594945,0.504558,1,0
-1.52905,-1.46395,0.553171,1,0
-1.52767,-1.75403,1.16921,1,0
-1.52628,0.993574,0.765611,1,0
-1.5249,1.02535,0.498295,1,0
-1.52351,1.60544,-0.245915,0,0
-1.52213,-0.401659,1.03028,1,0
-1.52074,1.47606,0.950503,0,0
-1.51936,-0.892129,0.812225,1,0
-1.51797,1.79975,0.529444,0,0
-1.51658,1.62284,-0.140107,1,0
-1.5152,-0.973401,0.925794,1,0
-1.51381,-1.25533,1.14648,1,0
-1.51243,1.26187,0.629718,0,0
-1.51104,0.886233,1.20177,0,0
-1.50966,-1.38624,0.928469,0,0
-1.50827,1.43604,0.228237,0,0
-1.50688,1.46166,0.215567,0,0
-1.5055,-2.15199,0.0726097,1,-1
-1.50411,0.520962,0.730467,1,0
-1.50273,1.19996,0.388497,0,0
-1.50134,-1.46701,1.18155,0,0
-1.49996,1.53442,0.0281422,1,0
-1.49857,0.146019,0.905182,1,0
-1.49718,-1.27342,1.26921,0,0
-1.4958,1.0501,0.701804,0,0
-1.49441,1.09458,0.0974269,0,0
-1.49303,1.00658,-0.0290851,0,0
-1.49164,-1.44934,1.22755,0,0
-1.49026,0.760675,0.925247,1,0
-1.48887,0.216583,0.773958,0,0
-1.48749,-0.963581,0.882649,0,0
-1.4861,1.13346,0.944113,1,0
-1.48471,-1.15455,0.862169,1,0
-1.48333,1.1666,0.6654,1,0
-1.48194,1.59761,0.342383,0,0
-1.48056,0.589046,0.199305,0,0
-1.47917,1.65269,0.935254,1,0
-1.47779,1.45074,1.32634,1,0
-1.4764,1.26497,0.0761657,1,0
-1.47501,-0.717578,1.32045,0,0
-1.47363,1.77345,0.586478,0,0
-1.47224,-0.89296,1.63031,0,0
-1.47086,-0.878025,0.739208,1,0
-1.46947,0.995508,0.638464,1,0
-1.46809,-0.50053,0.681924,1,0
-1.4667,-1.09732,1.1082,1,0
-1.46532,-0.847001,1.32302,0,0
-1.46393,-0.108842,1.03358,1,0
-1.46254,0.297551,0.664437,1,0
-1.46116,-0.830336,1.6635,0,0
-1.45977,-0.780903,0.491218,1,0
-1.45839,1.1919,0.489729,1,0
-1.457,-1.24963,0.951382,1,0
-1.45562,1.51589,0.521032,0,0
-1.45423,-1.31404,0.806975,0,0
-1.45284,-0.991896,0.864358,1,0
-1.45146,1.45348,0.0853106,1,0
-1.45007,-0.977088,2.12173,0,0
-1.44869,0.628141,1.49457,1,0
-1.4473,1.56517,0.00838062,1,0
-1.44592,-1.18958,0.936636,0,0
-1.44453,-1.03916,0.884694,0,0
-1.44314,-2.21779,0.759959,0,0
-1.44176,0.599866,1.46373,1,0
-1.44037,-0.685474,-0.294686,1,0
-1.43899,-1.25182,1.03098,0,0
-1.4376,1.32794,-0.162844,1,0
-1.43622,-1.32654,0.496648,0,0
-1.43483,1.84931,0.84604,1,0
-1.43345,-1.02831,1.10062,0,0
-1.43206,-1.84662,0.806468,0,0
-1.43067,-2.00012,0.595531,0,0
-1.42929,-0.990781,0.634994,1,0
-1.4279,-0.481764,1.61405,0,0
-1.42652,-0.861381,1.41223,0,0
-1.42513,1.09484,-0.201384,1,0
-1.42375,0.556888,0.386471,0,0
-1.42236,-1.16185,1.74268,1,0
-1.42097,1.10691,0.587327,1,0
-1.41959,0.425015,0.202714,1,0
-1.4182,1.38544,0.926963,0,0
-1.41682,-0.755296,0.891725,1,0
-1.41543,1.28513,1.10766,1,0
-1.41405,0.581332,0.979382,1,0
-1.41266,1.08343,0.621371,0,0
-1.41128,-1.55174,0.902398,0,0
-1.40989,1.07124,0.476111,1,0
-1.4085,1.22546,1.12483,0,0
-1.40712,0.608978,0.745936,1,0
-1.40573,-0.660109,0.848202,1,0
-1.40435,0.47724,0.828576,0,0
-1.40296,0.870886,-0.197875,1,0
-1.40158,0.631958,0.388157,0,0
-1.40019,-0.655057,1.6359,0,0
-1.3988,1.34159,0.205309,1,0
-1.39742,-0.769878,0.844212,0,0
-1.39603,-1.74749,1.13885,0,0
-1.39465,1.06559,0.752091,1,0
-1.39326,0.996654,-0.028102,1,0
-1.39188,-1.04705,-0.0911664,0,0
-1.39049,-1.02721,1.43209,1,0
-1.3891,-1.80473,1.26963,0,0
-1.38772,1.61876,0.522256,0,0
-1.38633,0.833739,0.397074,1,0
-1.38495,-1.93055,0.693778,0,0
-1.38356,1.74628,0.70029,0,0
-1.38218,-1.14142,0.812523,0,0
-1.38079,-1.47862,0.867977,1,0
-1.37941,0.95999,1.09755,1,0
-1.37802,-1.43612,1.432,1,0
-1.37663,0.8867,0.850762,1,0
-1.37525,-0.895286,1.14331,1,0
-1.37386,1.1183,0.668534,1,0
-1.37248,1.65085,0.491335,0,0
-1.37109,-2.05638,0.905271,0,0
-1.36971,-1.1811,1.13796,1,0
-1.36832,-0.674936,0.874055,0,0
-1.36693,-2.0077,1.09924,0,0
-1.36555,-1.3406,1.06435,1,0
-1.36416,-0.862204,1.06569,0,0
-1.36278,-1.42973,1.70641,0,0
-1.36139,-1.56395,1.27517,0,0
-1.36001,-1.52242,0.469471,0,0
-1.35862,-1.0049,1.01582,0,0
-1.35724,1.33439,0.287774,0,0
-1.35585,0.939155,0.686856,0,0
-1.35446,0.888466,0.0270347,1,0
-1.35308,0.300338,0.621842,0,0
-1.35169,-1.18027,0.318476,1,0
-1.35031,-0.973524,0.759862,1,0
-1.34892,-1.57312,1.73026,1,0
-1.34754,0.682719,0.988665,1,0
-1.34615,-0.844458,0.999932,1,0
-1.34476,0.777883,0.543599,0,0
-1.34338,1.09715,0.757492,1,0
-1.34199,-1.42093,1.44387,1,0
-1.34061,-0.891092,0.479583,0,0
-1.33922,-1.17009,-0.0570398,0,0
-1.33784,-2.14856,1.09016,1,0
-1.33645,-1.02649,1.78898,0,0
-1.33506,-1.02851,0.857014,1,0
-1.33368,0.410263,0.441704,0,0
-1.33229,-1.66349,1.17226,0,0
-1.33091,0.699537,0.080907,1,0
-1.32952,0.438057,0.702649,1,0
-1.32814,-0.672187,1.1671,0,0
-1.32675,1.69843,0.881191,0,0
-1.32537,-1.45255,0.575002,1,0
-1.32398,0.538539,0.268246,1,0
-1.32259,0.906672,0.552697,0,0
-1.32121,-1.03306,0.911845,0,0
-1.31982,0.322409,0.199763,0,0
-1.31844,0.742565,0.422795,0,0
-1.31705,-1.89697,0.97017,0,0
-1.31567,-1.10058,0.650705,1,0
-1.31428,0.977777,0.532779,1,0
-1.31289,0.726568,1.02869,1,0
-1.31151,-1.07254,1.30726,1,0
-1.31012,1.14468,0.507127,1,0
-1.30874,-0.681152,1.43479,0,0
-1.30735,1.01674,0.853853,1,0
-1.30597,1.17833,0.823041,0,0
-1.30458,-1.40067,1.41936,1,0
-1.3032,-1.45248,0.518416,1,0
-1.30181,-0.646234,0.432869,1,0
-1.30042,-1.30066,1.49768,0,0
-1.29904,0.840032,0.177098,1,0
-1.29765,0.734682,0.0303321,1,0
-1.29627,1.33945,-0.124118,1,0
-1.29488,0.973405,0.86589,1,0
-1.2935,0.29284,0.451043,0,0
-1.29211,1.20662,0.576042,0,0
-1.29072,-0.695565,0.70569,0,0
-1.28934,0.75247,0.545935,1,0
-1.28795,-0.867079,1.12013,1,0
-1.28657,1.0259,0.327308,0,0
-1.28518,-0.702856,1.22402,1,0
-1.2838,1.22017,0.517427,0,0
-1.28241,1.27077,0.557308,0,0
-1.28102,-1.6356,1.6499,1,0
-1.27964,0.455093,0.913826,0,0
-1.27825,0.953383,0.216577,0,0
-1.27687,0.64629,0.749137,0,0
-1.27548,1.21094,0.322337,1,0
-1.2741,0.850933,0.698952,0,0
-1.27271,1.64662,0.406168,1,0
-1.27133,1.29495,0.743337,1,0
-1.26994,0.73912,0.845769,0,0
-1.26855,-0.481981,1.20871,1,0
-1.26717,1.15081,-0.19221,1,0
-1.26578,-0.559666,0.463247,0,0
-1.2644,0.708941,0.52026,0,0
-1.26301,-0.730263,0.655171,0,0
-1.26163,-0.621991,1.08411,1,0
-1.26024,-1.32192,0.527576,1,0
-1.25885,-0.62522,0.842304,1,0
-1.25747,-0.750354,0.948027,0,0
-1.25608,-1.27925,1.11769,1,0
-1.2547,1.70508,1.16812,1,0
-1.25331,-1.30609,1.07624,0,0
-1.25193,-0.61918,0.917471,1,0
-1.25054,-2.06921,1.06683,0,0
-1.24916,-1.7558,0.684203,0,0
-1.24777,-0.822708,1.51501,1,0
-1.24638,-1.19073,0.992945,0,0
-1.245,1.50511,0.517789,0,0
-1.24361,0.495715,0.385042,1,0
-1.24223,1.43743,0.0756173,1,0
-1.24084,1.19321,0.475276,0,0
-1.23946,-1.18164,0.687673,1,0
-1.23807,-0.848062,0.75314,0,0
-1.23668,-0.774421,0.781132,0,0
-1.2353,1.06334,0.692023,1,0
-1.23391,-0.10116,1.34315,1,0
-1.23253,-1.09105,1.76037,0,0
-1.23114,1.28861,0.0358285,0,0
-1.22976,1.63006,0.489643,0,0
-1.22837,0.482122,0.170199,0,0
-1.22698,-0.765836,0.818777,1,0
-1.2256,1.83479,0.901905,0,0
-1.22421,-1.03745,1.25055,0,0
-1.22283,0.607406,0.617776,0,0
-1.22144,-0.768655,1.66252,0,0
-1.22006,-1.37609,1.30077,0,0
-1.21867,-0.684217,0.33228,1,0
-1.21729,-1.55386,1.13529,0,0
-1.2159,-1.33388,0.852648,0,0
-1.21451,1.45591,-0.0483997,0,0
-1.21313,-1.49132,0.880603,1,0
-1.21174,1.38376,-0.0766478,0,0
-1.21036,1.01904,0.231018,1,0
-1.20897,-1.21514,1.2852,1,0
-1.20759,-1.06183,0.312276,1,0
-1.2062,-0.478377,0.698056,0,0
-1.20481,1.00812,1.06477,1,0
-1.20343,-1.31853,0.865823,0,0
-1.20204,-1.7894,2.54581,1,-1
-1.20066,0.46308,0.162433,1,0
-1.19927,0.694696,-0.00384587,1,0
-1.19789,0.835368,0.41956,0,0
-1.1965,0.87653,0.808471,0,0
-1.19512,2.02619,0.139977,0,0
-1.19373,1.0213,0.391069,0,0
-1.19234,-1.13508,0.889483,1,0
-1.19096,0.385818,0.182996,1,0
-1.18957,-0.984819,0.755224,1,0
-1.18819,0.889986,0.783615,0,0
-1.1868,-1.1225,0.840464,0,0
-1.18542,-1.04769,0.355662,0,0
-1.18403,1.36216,1.19057,0,0
-1.18264,-0.524459,0.69384,1,0
-1.18126,-1.15159,1.31546,0,0
-1.17987,1.4139,0.259358,1,0
-1.17849,-0.885473,0.022548,1,0
-1.1771,-0.856126,0.334856,0,0
-1.17572,-1.05022,1.42318,0,0
-1.17433,-1.57201,0.966585,1,0
-1.17294,-1.05602,1.18499,1,0
-1.17156,0.950425,1.28506,0,0
-1.17017,0.91994,0.501597,1,0
-1.16879,-1.60656,1.28523,1,0
-1.1674,1.18307,0.299181,0,0
-1.16602,0.608288,0.226468,0,0
-1.16463,-0.996883,0.694553,0,0
-1.16325,-1.15011,1.19028,1,0
-1.16186,-1.25519,0.72129,1,0
-1.16047,1.13943,0.588422,0,0
-1.15909,1.48465,0.571968,0,0
-1.1577,0.705017,0.945846,0,0
-1.15632,-1.25746,0.32878,1,0
-1.15493,0.214097,0.257203,0,0
-1.15355,0.803788,0.465008,1,0
-1.15216,-0.911442,1.35461,1,0
-1.15077,-0.950742,0.873153,1,0
-1.14939,-1.24221,0.921038,1,0
-1.148,0.16026,1.30498,1,0
-1.14662,-0.759872,1.27075,0,0
-1.14523,-1.12133,1.70774,0,0
-1.14385,-0.422281,0.393805,1,0
-1.14246,-1.4873,0.679534,0,0
-1.14108,-1.1862,0.57213,0,0
-1.13969,0.996208,-0.227271,0,0
-1.1383,-1.89845,0.478671,1,0
-1.13692,-1.4929,0.859334,0,0
-1.13553,1.00318,0.456225,1,0
-1.13415,0.479186,1.15746,0,0
-1.13276,-1.65796,1.17915,1,0
-1.13138,1.11089,0.39411,0,0
-1.12999,-0.255454,0.772232,1,0
-1.1286,-1.22371,1.7711,1,0
-1.12722,-1.6151,1.93116,0,0
-1.12583,0.938773,0.642635,1,0
-1.12445,1.71859,0.376562,1,0
-1.12306,-0.633077,0.485684,1,0
-1.12168,-0.643572,0.647354,0,0
-1.12029,0.812378,0.423076,0,0
-1.1189,-0.615017,0.672528,1,0
-1.11752,-1.31108,0.988352,1,0
-1.11613,0.36232,-0.211492,1,0
-1.11475,-0.795981,0.318836,1,0
-1.11336,1.21743,0.568978,0,0
-1.11198,1.33524,0.738893,0,0
-1.11059,-0.988204,0.597189,0,0
-1.10921,-1.50725,0.339708,1,0
-1.10782,0.556533,0.301833,1,0
-1.10643,-0.958498,0.857487,0,0
-1.10505,0.90835,0.560696,1,0
-1.10366,1.54635,0.455975,1,0
-1.10228,-1.35488,1.28453,0,0
-1.10089,1.29765,0.151009,1,0
-1.09951,-1.38599,1.08739,1,0
-1.09812,1.68823,0.595167,1,0
-1.09673,1.04754,0.329769,1,0
-1.09535,0.311394,0.212004,1,0
-1.09396,-1.1223,0.275585,0,0
-1.09258,-0.958192,0.847135,0,0
-1.09119,1.50299,0.780993,0,0
-1.08981,-1.27791,1.45432,1,0
-1.08842,-1.49584,0.716548,0,0
-1.08704,1.05223,0.100721,0,0
-1.08565,-0.98087,0.758669,0,0
-1.08426,1.57472,0.977911,0,0
-1.08288,-1.06108,0.945607,0,0
-1.08149,-0.92693,0.68642,1,0
-1.08011,1.4655,-0.273119,0,0
-1.07872,1.56027,0.704713,0,0
-1.07734,1.81975,0.315612,1,0
-1.07595,-1.12091,1.79319,1,0
-1.07456,1.69097,-0.030429,1,0
-1.07318,-0.554246,1.01271,1,0
-1.07179,1.17923,0.587569,0,0
-1.07041,0.227433,0.47351,0,0
-1.06902,-0.757322,1.56218,1,0
-1.06764,0.652627,0.627144,1,0
-1.06625,-1.51597,0.751455,0,0
-1.06486,-1.40892,0.580218,1,0
-1.06348,1.55972,-0.417841,0,0
-1.06209,-1.43977,0.814871,1,0
-1.06071,1.48527,0.610762,0,0
-1.05932,-0.989673,1.60176,0,0
-1.05794,-0.836957,1.45579,0,0
-1.05655,-0.0284924,-0.212703,0,0
-1.05517,-2.23207,0.439481,0,0
-1.05378,0.818291,0.610135,0,0
-1.05239,-0.849653,0.791499,0,0
-1.05101,1.78991,0.748962,0,0
-1.04962,1.37999,0.690787,0,0
-1.04824,-0.694595,1.02059,1,0
-1.04685,-0.767776,1.35899,0,0
-1.04547,0.883855,0.910936,0,0
-1.04408,1.93556,0.720766,0,0
-1.04269,-1.58589,1.10697,1,0
-1.04131,1.69526,-0.0255841,1,0
-1.03992,-0.890617,0.8288,0,0
-1.03854,1.60753,0.58281,1,0
-1.03715,1.51486,0.933947,0,0
-1.03577,1.35134,0.425447,0,0
-1.03438,1.7451,0.631741,0,0
-1.033,1.15866,0.902615,0,0
-1.03161,-0.995312,0.827549,0,0
-1.03022,-0.924234,0.65364,0,0
-1.02884,0.786769,0.27028,1,0
-1.02745,0.221419,1.11247,1,0
-1.02607,-1.23838,1.19468,0,0
-1.02468,0.827105,0.249451,0,0
-1.0233,1.94349,1.18351,1,0
-1.02191,-0.448774,1.42503,0,0
-1.02052,-1.36708,0.691777,1,0
-1.01914,-0.567474,0.966142,1,0
-1.01775,0.426844,0.215998,1,0
-1.01637,0.819663,0.258552,1,0
-1.01498,-0.3406,1.16348,1,0
-1.0136,1.30633,0.291536,0,0
-1.01221,0.877919,0.0310254,0,0
-1.01082,-1.91774,0.56081,0,0
-1.00944,1.49369,0.384664,1,0
-1.00805,1.53733,0.00801325,1,0
-1.00667,0.616076,0.644488,0,0
-1.00528,1.39487,0.773722,0,0
-1.0039,-1.23174,1.26247,0,0
-1.00251,1.09743,1.92436,0,0
-1.00113,1.36264,0.448262,1,0
-0.99974,-1.91727,0.455492,1,0
-0.998354,-1.23741,0.385856,0,0
-0.996969,-0.77851,0.662852,1,0
-0.995583,1.45316,-0.191952,1,0
-0.994197,0.784897,0.528377,1,0
-0.992812,-0.822388,0.803384,1,0
-0.991426,1.04466,-0.472614,0,0
-0.99004,-0.756079,1.31283,1,0
-0.988655,-0.98734,1.04052,0,0
-0.987269,-0.82906,0.399575,1,0
-0.985883,1.95426,0.515384,1,0
-0.984498,1.55644,1.19474,0,0
-0.983112,0.735083,0.626927,0,0
-0.981726,-1.43241,0.755446,0,0
-0.980341,-1.45297,0.703937,0,0
-0.978955,-0.353588,0.749331,1,0
-0.97757,-0.558335,0.943139,0,0
-0.976184,-0.952922,1.43574,0,0
-0.974798,-0.92199,0.892837,0,0
-0.973413,1.02951,-0.286832,1,0
-0.972027,-0.896195,1.46031,1,0
-0.970641,-1.16895,1.30647,1,0
-0.969256,-1.50341,0.722606,1,0
-0.96787,1.43252,0.715016,1,0
-0.966484,1.53851,0.646687,1,0
-0.965099,0.751685,0.287433,1,0
-0.963713,1.81434,0.430492,1,0
-0.962328,0.616157,-0.087408,1,0
-0.960942,1.81158,0.266086,1,0
-0.959556,-1.05303,0.904732,1,0
-0.958171,1.05075,1.1694,0,0
-0.956785,0.603373,0.835678,0,0
-0.955399,-0.78068,0.677279,1,0
-0.954014,-1.18444,0.872969,1,0
-0.952628,-0.707881,0.972621,0,0
-0.951242,-1.06634,1.3089,0,0
-0.949857,1.22475,0.774854,1,0
-0.948471,1.00781,0.84598,1,0
-0.947085,1.96507,1.34048,1,0
-0.9457,-0.85483,1.10479,0,0
-0.944314,1.2153,0.173595,0,0
-0.942929,1.3824,1.21352,1,0
-0.941543,1.08604,0.339196,0,0
-0.940157,0.873775,1.33541,0,0
-0.938772,0.598366,-0.00387201,0,0
-0.937386,0.870265,0.647305,1,0
-0.936,-1.24249,2.08508,1,0
-0.934615,0.87946,0.496575,1,0
-0.933229,-1.20098,0.637354,1,0
-0.931843,-0.452438,0.836801,0,0
-0.930458,0.989769,-0.39511,0,0
-0.929072,-1.28532,0.740345,1,0
-0.927686,1.34578,0.897823,0,0
-0.926301,-0.684668,1.30831,1,0
-0.924915,0.738161,0.218135,0,0
-0.92353,-1.09889,0.476672,0,0
-0.922144,-1.59036,1.55392,0,0
-0.920758,0.513275,0.870675,1,0
-0.919373,-1.36538,1.3615,1,0
-0.917987,0.962194,0.314053,1,0
-0.916601,-0.81717,0.738682,1,0
-0.915216,-1.289,1.00919,0,0
-0.91383,1.4771,1.04231,0,0
-0.912444,0.998115,0.973069,1,0
-0.911059,1.01413,0.87726,1,0
-0.909673,0.710932,1.05994,1,0
-0.908288,0.808876,0.0962275,0,0
-0.906902,0.770099,0.149849,0,0
-0.905516,-1.22565,0.578948,0,0
-0.904131,0.869494,1.25631,0,0
-0.902745,0.166054,0.581876,1,0
-0.901359,-1.27186,1.2945,0,0
-0.899974,-0.601913,1.38801,1,0
-0.898588,-1.0228,1.31349,0,0
-0.897202,-1.20217,0.733656,1,0
-0.895817,1.08615,0.19507,1,0
-0.894431,1.06601,0.572127,0,0
-0.893045,-0.498403,1.06258,0,0
-0.89166,-0.718815,0.967588,0,0
-0.890274,1.2778,0.878443,0,0
-0.888889,-0.703544,1.92095,1,0
-0.887503,-0.989043,0.903851,0,0
-0.886117,1.36208,0.705205,0,0
-0.884732,-1.70047,1.4607,1,0
-0.883346,1.17924,1.02645,0,0
-0.88196,1.6259,1.34797,0,0
-0.880575,-1.40268,1.39429,0,0
-0.879189,0.698843,0.310137,0,0
-0.877803,-1.02953,0.898428,0,0
-0.876418,1.01945,0.543008,0,0
-0.875032,-0.719979,0.747513,1,0
-0.873646,-0.941842,0.840714,0,0
-0.872261,-1.52217,0.890134,1,0
-0.870875,1.48401,0.509918,0,0
-0.86949,-0.455776,1.89873,1,0
-0.868104,-1.57075,0.906173,1,0
-0.866718,0.952218,0.815178,0,0
-0.865333,-0.605893,1.00903,1,0
-0.863947,-0.192063,0.161312,0,0
-0.862561,-0.63397,1.55259,1,0
-0.861176,0.617123,0.776404,1,0
-0.85979,1.0041,0.634668,1,0
-0.858404,1.05921,0.36825,0,0
-0.857019,1.68666,0.148165,1,0
-0.855633,1.82963,0.602641,0,0
-0.854248,1.39795,0.687572,0,0
-0.852862,0.930375,0.449529,1,0
-0.851476,1.2606,0.267048,1,0
-0.850091,1.72582,0.797757,1,0
-0.848705,-1.35672,0.669462,1,0
-0.847319,1.28615,0.452364,1,0
-0.845934,0.391035,0.820639,1,0
-0.844548,2.20249,0.479874,0,0
-0.843162,-0.729956,1.13827,1,0
-0.841777,-0.22414,1.0658,0,0
-0.840391,0.215353,0.343781,1,0
-0.839005,-1.1643,0.636922,1,0
-0.83762,-1.15712,0.656342,1,0
-0.836234,0.817979,0.529472,0,0
-0.834849,0.970874,0.896297,1,0
-0.833463,0.913793,-0.485636,0,0
-0.832077,-1.05259,1.65058,0,0
-0.830692,0.798284,0.628781,0,0
-0.829306,0.617009,0.480027,1,0
-0.82792,1.2857,0.397024,1,0
-0.826535,-1.26254,0.628193,1,0
-0.825149,0.792235,0.556714,0,0
-0.823763,-0.80341,0.801591,1,0
-0.822378,-0.905516,0.978148,1,0
-0.820992,-1.44254,0.953608,0,0
-0.819607,-0.715954,1.6718,0,0
-0.818221,1.05278,-0.269501,0,0
-0.816835,1.19915,0.291802,1,0
-0.81545,1.00598,0.628198,1,0
-0.814064,0.545236,0.73703,0,0
-0.812678,-0.214124,0.613709,1,0
-0.811293,1.82714,-0.0540454,0,0
-0.809907,1.92085,0.285443,1,0
-0.808521,1.10078,0.569273,1,0
-0.807136,1.74744,0.100778,1,0
-0.80575,0.694835,0.648069,1,0
-0.804364,-0.852133,0.167401,0,0
-0.802979,-1.29647,0.534555,0,0
-0.801593,0.953824,0.078237,1,0
-0.800208,1.55281,0.191759,1,0
-0.798822,0.871248,1.00218,1,0
-0.797436,1.21989,1.11744,1,0
-0.796051,0.422046,0.842734,0,0
-0.794665,-1.09926,1.00579,0,0
