run_id,benchmark,case,combination,digit,time_ratio_vs_double,time_ratio_vs_double_stddev,speedup_vs_double,memory_ratio_vs_double,device_allocation_mib,cpu_fp64_variables,cpu_lower_variables,wrapper_fp64_macro_count,wrapper_lower_macro_count,dominant_storage,dominant_storage_bytes,wrapper_signature
793868,backprop,digit2_5,2,5,0.992727985,0.00131514581,1.00732528,0.575000926,10.063152,6,9,3,3,BP_HIDDEN_H:E5M2;BP_OUTPUT_O:FP64;BP_OUTPUT_T:FP64;BP_ADJUST:E5M2,,BP_ADJUST:E5M2|BP_HIDDEN_H:E5M2|BP_HIDDEN_SUM:E5M2|BP_OUTPUT_O:FP64|BP_OUTPUT_T:FP64|BP_SQUASH:FP64
793868,backprop,digit2_6,2,6,0.994497024,0.00181928242,1.00553343,0.575000926,10.063152,6,9,3,3,BP_HIDDEN_H:E5M2;BP_OUTPUT_O:FP64;BP_OUTPUT_T:FP64;BP_ADJUST:E5M2,,BP_ADJUST:E5M2|BP_HIDDEN_H:E5M2|BP_HIDDEN_SUM:E5M2|BP_OUTPUT_O:FP64|BP_OUTPUT_T:FP64|BP_SQUASH:FP64
794295,dense_lu,double,,,1,0,1,1,1.909271,,,,,,,
794295,dense_lu,digit1_1,1,1,0.962264692,0.0419690301,1.0392151,0.250755239,0.47876,55,15,0,2,FP16,2,DLU_AKK:FP16|DLU_PIVOT:E5M2
794295,dense_lu,digit1_2,1,2,0.964197779,0.0349464952,1.03713162,0.500503492,0.955597,55,15,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit1_3,1,3,0.949865812,0.0376298269,1.05278029,0.500503492,0.955597,55,15,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit1_4,1,4,0.942211779,0.0254953488,1.06133252,0.500503492,0.955597,56,14,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit1_5,1,5,0.96791687,0.0379871252,1.03314658,0.500503492,0.955597,56,14,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit1_6,1,6,0.978556488,0.0482407377,1.02191341,0.500503492,0.955597,57,13,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit1_7,1,7,0.997255093,0.0122553976,1.00275246,0.500503492,0.955597,57,13,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit1_8,1,8,0.979169651,0.0257136924,1.02127348,0.500503492,0.955597,57,13,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit1_9,1,9,0.954007049,0.0336390778,1.04821028,0.500503492,0.955597,57,13,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit1_10,1,10,0.967464161,0.024977961,1.03363002,0.500503492,0.955597,57,13,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit2_1,2,1,0.963227415,0.0313853713,1.03817643,0.250755239,0.47876,55,15,0,2,FP16,2,DLU_AKK:FP16|DLU_PIVOT:E5M2
794295,dense_lu,digit2_2,2,2,0.931602724,0.00728992099,1.07341893,0.500503492,0.955597,55,15,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit2_3,2,3,0.952744429,0.044539096,1.04959942,0.500503492,0.955597,55,15,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit2_4,2,4,0.960988702,0.0418453381,1.04059496,0.500503492,0.955597,56,14,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit2_5,2,5,0.941503109,0.0382241034,1.06213138,0.500503492,0.955597,56,14,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit2_6,2,6,0.953980307,0.0428997655,1.04823967,0.500503492,0.955597,57,13,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit2_7,2,7,0.980512498,0.0445645612,1.01987481,0.500503492,0.955597,57,13,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit2_8,2,8,0.995513023,0.00709866764,1.0045072,0.500503492,0.955597,57,13,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit2_9,2,9,0.970761105,0.0406304492,1.03011956,0.500503492,0.955597,57,13,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
794295,dense_lu,digit2_10,2,10,0.990407152,0.0188698219,1.00968576,0.500503492,0.955597,57,13,0,2,FP32,4,DLU_AKK:FP32|DLU_PIVOT:E5M2
793862,hotspot,double,,,1,0,1,1,6,,,,,,,
793862,hotspot,digit1_1,1,1,0.903116955,0.0923282915,1.1072763,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:E5M2
793862,hotspot,digit1_2,1,2,0.934464079,0.0886943222,1.07013209,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:E5M2
793862,hotspot,digit1_3,1,3,0.932688041,0.0919868125,1.07216985,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:E5M2
793862,hotspot,digit1_4,1,4,1.00719297,0.102450742,0.992858402,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:E5M2
793862,hotspot,digit1_5,1,5,0.974869022,0.102587938,1.02577882,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:E5M2
793862,hotspot,digit1_6,1,6,0.919545333,0.0941234235,1.08749396,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:E5M2
793862,hotspot,digit1_7,1,7,0.999467188,0.0936935347,1.0005331,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:FP32
793862,hotspot,digit1_8,1,8,1.01367552,0.0917509469,0.986508977,0.25,1.5,13,18,0,13,FP16,2,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:FP16|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:FP16|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:FP32
793862,hotspot,digit1_9,1,9,1.0081698,0.0978957075,0.99189641,0.25,1.5,13,18,0,13,FP16,2,HS_CAP:FP32|HS_CAP_1:E5M2|HS_DELTA:FP16|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:FP32
793862,hotspot,digit1_10,1,10,0.89086227,0.0823797484,1.12250797,0.5,3,13,18,0,13,FP32,4,HS_CAP:FP32|HS_CAP_1:FP16|HS_DELTA:FP32|HS_GRID_HEIGHT:FP16|HS_GRID_WIDTH:FP16|HS_MAX_SLOPE:FP16|HS_RX:E5M2|HS_RX_1:FP16|HS_RY:E5M2|HS_RY_1:FP16|HS_RZ:E5M2|HS_RZ_1:FP16|HS_STEP:FP32
793862,hotspot,digit2_1,2,1,1.0299263,0.101041341,0.970943263,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:E5M2
793862,hotspot,digit2_2,2,2,1.01998046,0.0963801675,0.980410935,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:E5M2
793862,hotspot,digit2_3,2,3,0.973536992,0.108694494,1.02718233,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:E5M2
793862,hotspot,digit2_4,2,4,0.943166687,0.11855354,1.06025797,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:E5M2
793862,hotspot,digit2_5,2,5,1.01607318,0.0905213307,0.984181084,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:E5M2
793862,hotspot,digit2_6,2,6,1.05505728,0.0983629076,0.947815835,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:E5M2
793862,hotspot,digit2_7,2,7,1.02397656,0.0914282308,0.976584858,0.125,0.75,13,18,0,13,E5M2,1,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:E5M2|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:FP32
793862,hotspot,digit2_8,2,8,1.00754818,0.0908096387,0.99250837,0.25,1.5,13,18,0,13,FP16,2,HS_CAP:FP16|HS_CAP_1:E5M2|HS_DELTA:FP16|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:FP16|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:FP32
793862,hotspot,digit2_9,2,9,0.973980999,0.134625732,1.02671407,0.25,1.5,13,18,0,13,FP16,2,HS_CAP:FP32|HS_CAP_1:E5M2|HS_DELTA:FP16|HS_GRID_HEIGHT:E5M2|HS_GRID_WIDTH:E5M2|HS_MAX_SLOPE:E5M2|HS_RX:E5M2|HS_RX_1:E5M2|HS_RY:E5M2|HS_RY_1:E5M2|HS_RZ:E5M2|HS_RZ_1:E5M2|HS_STEP:FP32
793862,hotspot,digit2_10,2,10,0.972915374,0.0939191385,1.02783862,0.5,3,13,18,0,13,FP32,4,HS_CAP:FP32|HS_CAP_1:FP16|HS_DELTA:FP32|HS_GRID_HEIGHT:FP16|HS_GRID_WIDTH:FP16|HS_MAX_SLOPE:FP16|HS_RX:E5M2|HS_RX_1:FP16|HS_RY:E5M2|HS_RY_1:FP16|HS_RZ:E5M2|HS_RZ_1:FP16|HS_STEP:FP32
