benchmark,case,precision,input_size,time_ms,time_ms_stddev,time_ms_min,time_ms_max,time_ms_runs,device_allocation_bytes,device_allocation_mib,speedup_vs_double,speedup_vs_double_stddev,time_ratio_vs_double,time_ratio_vs_double_stddev,memory_ratio_vs_double,relative_residual,relative_error,solution_l2_error_vs_double,solution_linf_error_vs_double,warmup_runs,measured_runs
dense_lu,digit2_7,mixed,5000,237.815244,1.33111431,235.77037,238.786591,5,100020016,95.38652,1.67220755,0.0117437034,0.598011892,0.00419976234,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit2_8,mixed,5000,237.940256,0.922069806,236.720001,238.840256,5,100020016,95.38652,1.67132898,0.00960232158,0.598326248,0.00343757639,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit2_9,mixed,5000,238.274799,1.65118206,235.371002,239.463013,5,100020016,95.38652,1.6689824,0.013560181,0.599167493,0.0048681278,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit2_10,mixed,5000,236.433127,2.23406277,234.33783,239.063812,5,100020016,95.38652,1.68198277,0.0174209501,0.594536411,0.00615784498,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
hotspot,digit1_1,mixed,512x512x2,0.1094656,0.00299139245,0.106304,0.114016,5,786432,0.75,0.988306829,0.059149728,1.01183152,0.0605576703,0.125,,,,,1,5
hotspot,digit1_2,mixed,512x512x2,0.1126464,0.00359821467,0.10848,0.11696,5,786432,0.75,0.960399977,0.0596339493,1.04123284,0.0646530905,0.125,,,,,1,5
hotspot,digit1_3,mixed,512x512x2,0.109984,0.00341996023,0.10496,0.1144,5,786432,0.75,0.983648531,0.0606528821,1.01662328,0.0626861428,0.125,,,,,1,5
hotspot,digit1_4,mixed,512x512x2,0.1134528,0.00163115272,0.111936,0.116064,5,786432,0.75,0.953573645,0.0525928547,1.0486867,0.0578386658,0.125,,,,,1,5
hotspot,digit1_5,mixed,512x512x2,0.1117632,0.00283354534,0.108192,0.115584,5,786432,0.75,0.967989463,0.0570865358,1.0330691,0.0609245639,0.125,,,,,1,5
hotspot,digit1_6,mixed,512x512x2,0.1089728,0.00575411255,0.103168,0.118496,5,786432,0.75,0.992776179,0.0744474228,1.00727638,0.0755347806,0.125,,,,,1,5
hotspot,digit1_7,mixed,512x512x2,0.1127296,0.0103558052,0.105088,0.130848,5,786432,0.75,0.959691155,0.101900077,1.04200189,0.110639837,0.125,,,,,1,5
hotspot,digit1_8,mixed,512x512x2,0.1155584,0.0026925105,0.111488,0.118496,5,1572864,1.5,0.936198494,0.054413043,1.06814955,0.0620822057,0.25,,,,,1,5
hotspot,digit1_9,mixed,512x512x2,0.1184448,0.00469613492,0.112576,0.12416,5,1572864,1.5,0.913384125,0.0606364585,1.09482963,0.0726820068,0.25,,,,,1,5
hotspot,digit1_10,mixed,512x512x2,0.1068288,0.00455888267,0.101952,0.113632,5,3145728,3,1.01270069,0.0691038816,0.98745859,0.0673814304,0.5,,,,,1,5
hotspot,digit2_1,mixed,512x512x2,0.1111232,0.00359132109,0.10752,0.116128,5,786432,0.75,0.973564476,0.0606404005,1.02715334,0.0639782893,0.125,,,,,1,5
hotspot,digit2_2,mixed,512x512x2,0.1123136,0.00660245385,0.106336,0.12272,5,786432,0.75,0.963245769,0.0764004595,1.03815665,0.0823420643,0.125,,,,,1,5
hotspot,digit2_3,mixed,512x512x2,0.1141376,0.00513549655,0.108736,0.120576,5,786432,0.75,0.947852417,0.0660758755,1.05501656,0.0735464107,0.125,,,,,1,5
hotspot,digit2_4,mixed,512x512x2,0.110592,0.00190218401,0.108544,0.112672,5,786432,0.75,0.978240741,0.0547380751,1.02224326,0.0572002635,0.125,,,,,1,5
hotspot,digit2_5,mixed,512x512x2,0.109664,0.00505007247,0.103904,0.115456,5,786432,0.75,0.986518821,0.0694486292,1.0136654,0.0713596855,0.125,,,,,1,5
hotspot,digit2_6,mixed,512x512x2,0.1117248,0.00284625565,0.108032,0.116,5,786432,0.75,0.968322163,0.0571572424,1.03271415,0.0609581142,0.125,,,,,1,5
hotspot,digit2_7,mixed,512x512x2,0.113888,0.00609127376,0.107232,0.121376,5,786432,0.75,0.949929756,0.0716917764,1.05270942,0.07944862,0.125,,,,,1,5
hotspot,digit2_8,mixed,512x512x2,0.1105984,0.00430405353,0.103808,0.115296,5,1572864,1.5,0.978184133,0.0645130882,1.02230241,0.067422772,0.25,,,,,1,5
hotspot,digit2_9,mixed,512x512x2,0.1187904,0.00760171433,0.107008,0.125632,5,1572864,1.5,0.910726793,0.0758163129,1.09802414,0.0914084686,0.25,,,,,1,5
hotspot,digit2_10,mixed,512x512x2,0.1051904,0.00314703365,0.101248,0.109856,5,3145728,3,1.02847408,0.0628148369,0.972314245,0.0593848322,0.5,,,,,1,5
