benchmark,case,total_time_ms,pure_computation_time_ms,non_kernel_overhead_ms,memory_transfer_time_ms,type_conversion_time_ms,profiling_method,notes
hotspot,digit1_10,785.210726,0.1068288,785.103897,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit2_1,768.421222,0.1111232,768.310099,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit2_2,767.714611,0.1123136,767.602297,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit2_3,760.019456,0.1141376,759.905318,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit2_4,771.24608,0.110592,771.135488,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit2_5,763.40823,0.109664,763.298566,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit2_6,776.201779,0.1117248,776.090054,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit2_7,766.582374,0.113888,766.468486,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit2_8,774.605158,0.1105984,774.49456,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit2_9,775.849165,0.1187904,775.730375,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit2_10,787.817626,0.1051904,787.712436,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
