benchmark,case,kernel_time_ms,kernel_time_ms_stddev,kernel_time_ms_min,kernel_time_ms_max,total_time_ms,total_time_ms_stddev,total_time_ms_min,total_time_ms_max,non_kernel_overhead_ms,device_allocation_bytes,device_allocation_mib,relative_residual,relative_error,solution_l2_error_vs_double,solution_linf_error_vs_double,warmup_runs,measured_runs
dense_lu,digit2_3,237.003204,2.09750837,234.405914,238.882462,1530.59676,26.2987962,1488.98893,1552.44646,1293.59356,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit2_4,236.346466,2.05427705,234.374237,238.606689,1550.53271,12.1184397,1535.02618,1563.80288,1314.18624,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit2_5,235.662537,1.75295841,234.120804,238.359558,1556.87286,15.0061609,1538.76352,1570.73843,1321.21032,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit2_6,237.467969,2.13809766,234.559464,239.453629,1543.26303,21.3054424,1505.42797,1556.45619,1305.79506,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit2_7,237.815244,1.33111431,235.77037,238.786591,1532.73462,25.4472535,1488.14848,1548.75674,1294.91938,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit2_8,237.940256,0.922069806,236.720001,238.840256,1547.72546,21.0606254,1525.81632,1581.9328,1309.7852,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit2_9,238.274799,1.65118206,235.371002,239.463013,1533.615,18.2229322,1502.05619,1546.85517,1295.3402,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit2_10,236.433127,2.23406277,234.33783,239.063812,1542.61709,21.7445273,1504.24141,1557.75462,1306.18396,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
hotspot,digit1_1,0.1094656,0.00299139245,0.106304,0.114016,772.501299,15.0968958,761.775872,798.4896,772.391833,786432,0.750000,,,,,1,5,
hotspot,digit1_2,0.1126464,0.00359821467,0.10848,0.11696,764.828518,14.6703297,753.07776,789.001728,764.715872,786432,0.750000,,,,,1,5,
hotspot,digit1_3,0.109984,0.00341996023,0.10496,0.1144,823.213311,127.038929,759.694336,1049.9927,823.103327,786432,0.750000,,,,,1,5,
hotspot,digit1_4,0.1134528,0.00163115272,0.111936,0.116064,764.784845,11.1528004,759.12832,784.676352,764.671392,786432,0.750000,,,,,1,5,
hotspot,digit1_5,0.1117632,0.00283354534,0.108192,0.115584,763.135642,8.68845217,755.120384,777.355008,763.023879,786432,0.750000,,,,,1,5,
hotspot,digit1_6,0.1089728,0.00575411255,0.103168,0.118496,766.36247,16.4590267,754.905344,795.194624,766.253497,786432,0.750000,,,,,1,5,
hotspot,digit1_7,0.1127296,0.0103558052,0.105088,0.130848,767.581286,2.13870999,764.760064,769.368064,767.468556,786432,0.750000,,,,,1,5,
hotspot,digit1_8,0.1155584,0.0026925105,0.111488,0.118496,782.985677,14.7593784,770.352384,807.037184,782.870119,1572864,1.500000,,,,,1,5,
hotspot,digit1_9,0.1184448,0.00469613492,0.112576,0.12416,774.228838,6.57346351,767.214848,781.649664,774.110393,1572864,1.500000,,,,,1,5,
hotspot,digit1_10,0.1068288,0.00455888267,0.101952,0.113632,785.210726,11.1858934,775.295488,802.98752,785.103897,3145728,3.000000,,,,,1,5,
hotspot,digit2_1,0.1111232,0.00359132109,0.10752,0.116128,768.421222,10.0395239,760.113664,785.033472,768.310099,786432,0.750000,,,,,1,5,
hotspot,digit2_2,0.1123136,0.00660245385,0.106336,0.12272,767.714611,16.7030409,753.825536,795.94368,767.602297,786432,0.750000,,,,,1,5,
hotspot,digit2_3,0.1141376,0.00513549655,0.108736,0.120576,760.019456,7.9197859,752.191744,772.687616,759.905318,786432,0.750000,,,,,1,5,
hotspot,digit2_4,0.110592,0.00190218401,0.108544,0.112672,771.24608,15.2959683,756.170496,796.856064,771.135488,786432,0.750000,,,,,1,5,
hotspot,digit2_5,0.109664,0.00505007247,0.103904,0.115456,763.40823,8.37941432,752.931328,774.038272,763.298566,786432,0.750000,,,,,1,5,
hotspot,digit2_6,0.1117248,0.00284625565,0.108032,0.116,776.201779,8.47467901,763.587328,786.538752,776.090054,786432,0.750000,,,,,1,5,
hotspot,digit2_7,0.113888,0.00609127376,0.107232,0.121376,766.582374,10.9281688,747.4304,774.821376,766.468486,786432,0.750000,,,,,1,5,
hotspot,digit2_8,0.1105984,0.00430405353,0.103808,0.115296,774.605158,14.2537612,753.347072,787.8272,774.49456,1572864,1.500000,,,,,1,5,
hotspot,digit2_9,0.1187904,0.00760171433,0.107008,0.125632,775.849165,15.8347109,756.127488,796.691968,775.730375,1572864,1.500000,,,,,1,5,
hotspot,digit2_10,0.1051904,0.00314703365,0.101248,0.109856,787.817626,26.4812994,753.62944,822.161664,787.712436,3145728,3.000000,,,,,1,5,
